Type;SNR (dB);ai85nasnet_kws20_res_1
raw;None;93,7664697864607
AirConditioner;-5;45,07950931394821
AirConditioner;0;68,28714220808723
AirConditioner;5;80,8178100863244
AirConditioner;10;87,63289413902771
AirConditioner;15;90,45888232621535
AirConditioner;20;91,89459336665152
AirportAnnouncements;-5;33,3575647432985
AirportAnnouncements;0;54,22080872330759
AirportAnnouncements;5;72,93048614266242
AirportAnnouncements;10;84,41617446615174
AirportAnnouncements;15;88,93230349840981
AirportAnnouncements;20;91,19491140390733
Babble;-5;26,09722853248524
Babble;0;46,75147660154475
Babble;5;68,34166288050886
Babble;10;82,00817810086325
Babble;15;87,98727850976829
Babble;20;90,53157655611086
CopyMachine;-5;33,993639254884144
CopyMachine;0;57,31031349386642
CopyMachine;5;74,9023171285779
CopyMachine;10;84,67060427078601
CopyMachine;15;89,3139482053612
CopyMachine;20;91,04952294411632
Munching;-5;68,93230349840982
Munching;0;77,56474329850069
Munching;5;84,54338936846888
Munching;10;88,48705134029986
Munching;15;90,45888232621535
Munching;20;91,94911403907315
NeighborSpeaking;-5;30,495229441163108
NeighborSpeaking;0;38,34620626987733
NeighborSpeaking;5;50,676965015901864
NeighborSpeaking;10;66,53339391185824
NeighborSpeaking;15;79,03680145388459
NeighborSpeaking;20;88,1326669695593
ShuttingDoor;-5;71,39482053611994
ShuttingDoor;0;79,55474784189005
ShuttingDoor;5;84,67060427078601
ShuttingDoor;10;88,54157201272149
ShuttingDoor;15;90,85870059064062
ShuttingDoor;20;92,2489777373921
Typing;-5;56,492503407542024
Typing;0;71,93094048159927
Typing;5;81,88096319854611
Typing;10;87,30577010449795
Typing;15;89,95910949568378
Typing;20;91,62199000454339
VacuumCleaner;-5;32,49432076328942
VacuumCleaner;0;53,702862335302136
VacuumCleaner;5;69,42298955020445
VacuumCleaner;10;79,80009086778736
VacuumCleaner;15;85,74284416174466
VacuumCleaner;20;89,98636983189459
TradeShow;-5;58,427987278509775
TradeShow;0;74,52067242162653
TradeShow;5;83,88914129940936
TradeShow;10;88,1599273057701
TradeShow;15;90,4225352112676
TradeShow;20;91,94002726033621
WhiteNoise;-5;66,44252612448886
WhiteNoise;0;81,88096319854611
WhiteNoise;5;88,74148114493411
WhiteNoise;10;91,5038618809632
WhiteNoise;15;92,55792821444798
WhiteNoise;20;93,2121762835075
